ID	population
FCT-02-10	west
FCT-02-11	west
FCT-02-15	west
FCT-02-16	west
FCT-02-2	west
FCT-02-3	west
FCT-02-4	west
FCT-02-7	west
FCT-02-8	west
FCT-03-10	west
FCT-03-11	west
FCT-03-12	west
FCT-03-13	west
FCT-03-14	west
FCT-03-2	west
FCT-03-4	west
FCT-03-6	west
FCT-03-8	west
FCT-03-9	west
MaoKS-CX-2014-004-1	west
MaoKS-CX-2014-004-10	west
MaoKS-CX-2014-004-11	west
MaoKS-CX-2014-004-12	west
MaoKS-CX-2014-004-13	west
MaoKS-CX-2014-004-14	west
MaoKS-CX-2014-004-15	west
MaoKS-CX-2014-004-4	west
MaoKS-CX-2014-004-7	west
MaoKS-CX-2014-004-8	west
MaoKS-CX-2014-068-1	west
MaoKS-CX-2014-068-14	west
MaoKS-CX-2014-068-16	west
MaoKS-CX-2014-068-18	west
MaoKS-CX-2014-068-19	west
MaoKS-CX-2014-068-2	west
MaoKS-CX-2014-068-5	west
MaoKS-CX-2014-068-6	west
MaoKS-CX-2014-073-1	west
MaoKS-CX-2014-073-10	west
MaoKS-CX-2014-073-11	west
MaoKS-CX-2014-073-12	west
MaoKS-CX-2014-073-13	west
MaoKS-CX-2014-073-2	west
MaoKS-CX-2014-073-5	west
MaoKS-CX-2014-073-6	west
MaoKS-CX-2014-073-7	west
MaoKS-CX-2014-078-11	west
MaoKS-CX-2014-078-12	west
MaoKS-CX-2014-078-13	west
MaoKS-CX-2014-078-15	west
MaoKS-CX-2014-078-2	west
MaoKS-CX-2014-078-6	west
MaoKS-CX-2014-078-9	west
MaoKS-CX-2014-109-1	west
MaoKS-CX-2014-109-10	west
MaoKS-CX-2014-109-3	west
MaoKS-CX-2014-109-4	west
MaoKS-CX-2014-109-5	west
MaoKS-CX-2014-109-6	west
MaoKS-CX-2014-109-7	west
MaoKS-CX-2014-112-1	west
MaoKS-CX-2014-112-10	west
MaoKS-CX-2014-112-11	west
MaoKS-CX-2014-112-2	west
MaoKS-CX-2014-112-3	west
MaoKS-CX-2014-112-4	west
MaoKS-CX-2014-112-6	west
MaoKS-CX-2014-112-7	west
MaoKS-CX-2014-112-8	west
MaoKS-CX-2014-112-9	west
FCT-10-11	east
FCT-10-3	east
FCT-10-4	east
FCT-10-6	east
FCT-10-8	east
FCT-10-9	east
FCT-11-1	east
FCT-11-10	east
FCT-11-11	east
FCT-11-14	east
FCT-11-15	east
FCT-11-2	east
FCT-11-3	east
FCT-11-5	east
FCT-11-7	east
FCT-11-8	east
FCT-12-1	east
FCT-12-12	east
FCT-12-13	east
FCT-12-17	east
FCT-12-2	east
FCT-12-4	east
FCT-12-5	east
FCT-12-6	east
FCT-12-8	east
FCT-12-9	east
FCT-16-1	east
FCT-16-3	east
FCT-16-4	east
FCT-16-5	east
FCT-16-6	east
FCT-16-7	east
FCT-17-1	east
FCT-17-11	east
FCT-17-12	east
FCT-17-13	east
FCT-17-15	east
FCT-17-2	east
FCT-17-3	east
FCT-17-4	east
FCT-17-5	east
FCT-17-6	east
FCT-18-1	east
FCT-18-12	east
FCT-18-14	east
FCT-18-15	east
FCT-18-16	east
FCT-18-17	east
FCT-18-2	east
FCT-18-3	east
FCT-18-7	east
FCT-18-8	east
FCT-19-1	east
FCT-19-11	east
FCT-19-12	east
FCT-19-13	east
FCT-19-14	east
FCT-19-15	east
FCT-19-4	east
FCT-19-5	east
FCT-19-6	east
FCT-19-7	east
FCT-20-1	east
FCT-20-13	east
FCT-20-14	east
FCT-20-17	east
FCT-20-18	east
FCT-20-4	east
FCT-20-5	east
FCT-20-8	east
FCT-20-9	east
FCT-22-1	east
FCT-22-11	east
FCT-22-12	east
FCT-22-13	east
FCT-22-14	east
FCT-22-2	east
FCT-22-3	east
FCT-22-6	east
FCT-22-8	east
FCT-22-9	east
FCT-23-10	east
FCT-23-11	east
FCT-23-12	east
FCT-23-15	east
FCT-23-17	east
FCT-23-3	east
FCT-23-4	east
FCT-23-6	east
FCT-23-7	east
LiuJQ-MZL-2013-047-1	east
LiuJQ-MZL-2013-047-12	east
LiuJQ-MZL-2013-047-13	east
LiuJQ-MZL-2013-047-14	east
LiuJQ-MZL-2013-047-2	east
LiuJQ-MZL-2013-047-4	east
LiuJQ-MZL-2013-047-5	east
LiuJQ-MZL-2013-047-6	east
LiuJQ-MZL-2013-047-7	east
LiuJQ-MZL-2013-047-9	east
ZXX2020-DYY-1	east
ZXX2020-DYY-10	east
ZXX2020-DYY-2	east
ZXX2020-DYY-3	east
ZXX2020-DYY-4	east
ZXX2020-DYY-5	east
ZXX2020-DYY-6	east
ZXX2020-DYY-7	east
ZXX2020-DYY-8	east
ZXX2020-DYY-9	east
